Inicial,Upcard,Acoes,Final,Valor,DealerFinal,Resultado,Aposta,PNL,Double,Split,BJ_Jogador,BJ_Dealer
23,7,HD,2359,19,567,V,1.0,2.0,S,N,N,N
69,7,H,679,22,567,D,1.0,-1.0,N,N,N,N
8T,6,S,8T,18,36J,D,1.0,-1.0,N,N,N,N
59,6,S,59,14,36J,D,1.0,-1.0,N,N,N,N
5J,6,S,5J,15,36J,D,1.0,-1.0,N,N,N,N
7T,6,S,7T,17,36J,D,1.0,-1.0,N,N,N,N
58,6,S,58,13,36J,D,1.0,-1.0,N,N,N,N
25,6,HS,255,12,36J,D,1.0,-1.0,N,N,N,N
39,6,S,39,12,36J,D,1.0,-1.0,N,N,N,N
4J,3,S,4J,14,223T,D,1.0,-1.0,N,N,N,N
KA,3,-,KA,21,223T,V,1.0,1.5,N,N,S,N
7Q,3,S,7Q,17,223T,E,1.0,0.0,N,N,N,N
7A,3,D,7AA,19,223T,V,1.0,2.0,S,N,N,N
KK,3,S,KK,20,223T,V,1.0,1.0,N,N,N,N
7J,3,S,7J,17,223T,E,1.0,0.0,N,N,N,N
47,3,D,47K,21,223T,V,1.0,2.0,S,N,N,N
2Q,K,HS,27Q,19,56K,D,1.0,-1.0,N,N,N,N
7J,K,S,7J,17,56K,D,1.0,-1.0,N,N,N,N
TA,K,-,TA,21,56K,V,1.0,1.5,N,N,S,N
36,K,HS,368,17,56K,D,1.0,-1.0,N,N,N,N
TQ,K,S,TQ,20,56K,D,1.0,-1.0,N,N,N,N
55,K,HHS,3557,20,56K,D,1.0,-1.0,N,N,N,N
57,K,HH,257J,24,56K,D,1.0,-1.0,N,N,N,N
9A,8,S,9A,20,89,V,1.0,1.0,N,N,N,N
8A,8,S,8A,19,89,V,1.0,1.0,N,N,N,N
24,8,HH,2499,24,89,D,1.0,-1.0,N,N,N,N
JK,8,S,JK,20,89,V,1.0,1.0,N,N,N,N
TQ,8,S,TQ,20,89,V,1.0,1.0,N,N,N,N
47,8,D,447,15,89,D,1.0,-2.0,S,N,N,N
4T,8,H,4TT,24,89,D,1.0,-1.0,N,N,N,N
79,2,S,79,16,2TJ,V,1.0,1.0,N,N,N,N
45,2,HS,456,15,2TJ,V,1.0,1.0,N,N,N,N
QQ,2,S,QQ,20,2TJ,V,1.0,1.0,N,N,N,N
6A,2,HS,69A,16,2TJ,V,1.0,1.0,N,N,N,N
5J,2,S,5J,15,2TJ,V,1.0,1.0,N,N,N,N
2Q,2,HS,2QA,13,2TJ,V,1.0,1.0,N,N,N,N
9K,2,S,9K,19,2TJ,V,1.0,1.0,N,N,N,N
78,8,HS,378,18,8J,E,1.0,0.0,N,N,N,N
69,8,H,699,24,8J,D,1.0,-1.0,N,N,N,N
JK,8,S,JK,20,8J,V,1.0,1.0,N,N,N,N
TJ,8,S,TJ,20,8J,V,1.0,1.0,N,N,N,N
33,8,HD,3347,17,8J,D,1.0,-2.0,S,N,N,N
67,8,HS,567,18,8J,E,1.0,0.0,N,N,N,N
JQ,8,S,JQ,20,8J,V,1.0,1.0,N,N,N,N
QA,2,-,QA,21,2JKA,V,1.0,1.5,N,N,S,N
JA,2,-,JA,21,2JKA,V,1.0,1.5,N,N,S,N
8T,2,S,8T,18,2JKA,V,1.0,1.0,N,N,N,N
TK,2,S,TK,20,2JKA,V,1.0,1.0,N,N,N,N
6J,2,S,6J,16,2JKA,V,1.0,1.0,N,N,N,N
7K,2,S,7K,17,2JKA,V,1.0,1.0,N,N,N,N
3K,2,S,3K,13,2JKA,V,1.0,1.0,N,N,N,N
2K,J,HS,25K,17,7J,E,1.0,0.0,N,N,N,N
36,J,HD,236A,12,7J,D,1.0,-2.0,S,N,N,N
47,J,D,347,14,7J,D,1.0,-2.0,S,N,N,N
47,J,D,47T,21,7J,V,1.0,2.0,S,N,N,N
7A,J,HH,778A,23,7J,D,1.0,-1.0,N,N,N,N
27,J,HS,27J,19,7J,V,1.0,1.0,N,N,N,N
JA,J,-,JA,21,7J,V,1.0,1.5,N,N,S,N
7A,6,D,47A,12,678,D,1.0,-2.0,S,N,N,N
5K,6,S,5K,15,678,D,1.0,-1.0,N,N,N,N
9Q,6,S,9Q,19,678,D,1.0,-1.0,N,N,N,N
9A,6,S,9A,20,678,D,1.0,-1.0,N,N,N,N
39,6,S,39,12,678,D,1.0,-1.0,N,N,N,N
9Q,6,S,9Q,19,678,D,1.0,-1.0,N,N,N,N
QQ,6,S,QQ,20,678,D,1.0,-1.0,N,N,N,N
4A,6,D,4QA,15,669,D,1.0,-2.0,S,N,N,N
AA,6,P,TA,21,669,V,1.0,1.5,N,S,S,N
KA,6,-,KA,21,669,V,1.0,1.5,N,S,S,N
TA,6,-,TA,21,669,V,1.0,1.5,N,N,S,N
2K,6,S,2K,12,669,D,1.0,-1.0,N,N,N,N
79,6,S,79,16,669,D,1.0,-1.0,N,N,N,N
5A,6,D,57A,13,669,D,1.0,-2.0,S,N,N,N
9Q,6,S,9Q,19,669,D,1.0,-1.0,N,N,N,N
JQ,3,S,JQ,20,34T,V,1.0,1.0,N,N,N,N
2A,3,HD,247A,14,34T,D,1.0,-2.0,S,N,N,N
38,3,D,338,14,34T,D,1.0,-2.0,S,N,N,N
5Q,3,S,5Q,15,34T,D,1.0,-1.0,N,N,N,N
26,3,HS,26T,18,34T,V,1.0,1.0,N,N,N,N
68,3,S,68,14,34T,D,1.0,-1.0,N,N,N,N
37,3,D,357,15,34T,D,1.0,-2.0,S,N,N,N
2Q,6,S,2Q,12,67K,V,1.0,1.0,N,N,N,N
2K,6,S,2K,12,67K,V,1.0,1.0,N,N,N,N
28,6,D,28Q,20,67K,V,1.0,2.0,S,N,N,N
3A,6,D,3KA,14,67K,V,1.0,2.0,S,N,N,N
8Q,6,S,8Q,18,67K,V,1.0,1.0,N,N,N,N
29,6,D,279,18,67K,V,1.0,2.0,S,N,N,N
TJ,6,S,TJ,20,67K,V,1.0,1.0,N,N,N,N
3K,8,HS,34K,17,789,V,1.0,1.0,N,N,N,N
6T,8,H,68T,24,789,D,1.0,-1.0,N,N,N,N
6Q,8,HS,6QA,17,789,V,1.0,1.0,N,N,N,N
56,8,D,56A,12,789,V,1.0,2.0,S,N,N,N
45,8,HH,4557,21,789,V,1.0,1.0,N,N,N,N
2Q,8,H,2JQ,22,789,D,1.0,-1.0,N,N,N,N
8K,8,S,8K,18,789,V,1.0,1.0,N,N,N,N
67,6,S,67,13,4568,V,1.0,1.0,N,N,N,N
3J,6,S,3J,13,4568,V,1.0,1.0,N,N,N,N
8T,6,S,8T,18,4568,V,1.0,1.0,N,N,N,N
57,6,S,57,12,4568,V,1.0,1.0,N,N,N,N
25,6,HS,25T,17,4568,V,1.0,1.0,N,N,N,N
9J,6,S,9J,19,4568,V,1.0,1.0,N,N,N,N
QA,6,-,QA,21,4568,V,1.0,1.5,N,N,S,N
2J,5,S,2J,12,45J,D,1.0,-1.0,N,N,N,N
6Q,5,S,6Q,16,45J,D,1.0,-1.0,N,N,N,N
JJ,5,S,JJ,20,45J,V,1.0,1.0,N,N,N,N
KA,5,-,KA,21,45J,V,1.0,1.5,N,N,S,N
TJ,5,S,TJ,20,45J,V,1.0,1.0,N,N,N,N
34,5,HS,34T,17,45J,D,1.0,-1.0,N,N,N,N
25,5,HS,259,16,45J,D,1.0,-1.0,N,N,N,N
6J,Q,HS,6JA,17,JQ,D,1.0,-1.0,N,N,N,N
4A,Q,HH,46JA,21,JQ,V,1.0,1.0,N,N,N,N
69,Q,HS,369,18,JQ,D,1.0,-1.0,N,N,N,N
25,Q,HH,257K,24,JQ,D,1.0,-1.0,N,N,N,N
8Q,Q,S,8Q,18,JQ,D,1.0,-1.0,N,N,N,N
3T,Q,H,3TK,23,JQ,D,1.0,-1.0,N,N,N,N
9K,Q,S,9K,19,JQ,D,1.0,-1.0,N,N,N,N
3J,K,H,39J,22,6TK,D,1.0,-1.0,N,N,N,N
8K,K,S,8K,18,6TK,V,1.0,1.0,N,N,N,N
55,K,HHS,3557,20,6TK,V,1.0,1.0,N,N,N,N
TA,K,-,TA,21,6TK,V,1.0,1.5,N,N,S,N
66,K,HS,667,19,6TK,V,1.0,1.0,N,N,N,N
88,K,P,58,13,6TK,V,1.0,1.0,N,S,N,N
88,K,P,88,16,6TK,V,1.0,1.0,N,S,N,N
8K,K,S,8K,18,6TK,V,1.0,1.0,N,S,N,N
8K,K,S,8K,18,6TK,V,1.0,1.0,N,N,N,N
2T,8,H,2TJ,22,288,D,1.0,-1.0,N,N,N,N
39,8,HHS,3449,20,288,V,1.0,1.0,N,N,N,N
2T,8,HS,28T,20,288,V,1.0,1.0,N,N,N,N
49,8,H,49J,23,288,D,1.0,-1.0,N,N,N,N
6A,8,HS,6JA,17,288,D,1.0,-1.0,N,N,N,N
57,8,H,57Q,22,288,D,1.0,-1.0,N,N,N,N
29,8,D,29Q,21,288,V,1.0,2.0,S,N,N,N
9A,J,S,9A,20,334J,E,1.0,0.0,N,N,N,N
4A,J,HS,45A,20,334J,E,1.0,0.0,N,N,N,N
45,J,HS,459,18,334J,D,1.0,-1.0,N,N,N,N
25,J,HHS,225T,19,334J,D,1.0,-1.0,N,N,N,N
38,J,D,358,16,334J,D,1.0,-2.0,S,N,N,N
3K,J,HH,3TKA,24,334J,D,1.0,-1.0,N,N,N,N
5Q,J,H,5TQ,25,334J,D,1.0,-1.0,N,N,N,N
8J,7,S,8J,18,27A,D,1.0,-1.0,N,N,N,N
89,7,S,89,17,27A,D,1.0,-1.0,N,N,N,N
8T,7,S,8T,18,27A,D,1.0,-1.0,N,N,N,N
9Q,7,S,9Q,19,27A,D,1.0,-1.0,N,N,N,N
27,7,HHS,2367,18,27A,D,1.0,-1.0,N,N,N,N
48,7,HHS,4448,20,27A,E,1.0,0.0,N,N,N,N
45,7,HH,455Q,24,27A,D,1.0,-1.0,N,N,N,N
3Q,7,HHS,334Q,20,778,V,1.0,1.0,N,N,N,N
7K,7,S,7K,17,778,V,1.0,1.0,N,N,N,N
JK,7,S,JK,20,778,V,1.0,1.0,N,N,N,N
55,7,D,455,14,778,V,1.0,2.0,S,N,N,N
49,7,H,489,21,778,V,1.0,1.0,N,N,N,N
7Q,7,S,7Q,17,778,V,1.0,1.0,N,N,N,N
2A,7,HS,27A,20,778,V,1.0,1.0,N,N,N,N
88,K,P,28,10,7K,D,1.0,-1.0,N,S,N,N
8J,K,S,8J,18,7K,V,1.0,1.0,N,S,N,N
7T,K,S,7T,17,7K,E,1.0,0.0,N,N,N,N
69,K,HH,679A,23,7K,D,1.0,-1.0,N,N,N,N
29,K,D,29Q,21,7K,V,1.0,2.0,S,N,N,N
78,K,H,78T,25,7K,D,1.0,-1.0,N,N,N,N
88,K,P,88,16,7K,D,1.0,-1.0,N,S,N,N
28,K,HH,2578,22,7K,D,1.0,-1.0,N,S,N,N
48,K,H,48K,22,7K,D,1.0,-1.0,N,N,N,N
5A,3,HS,45A,20,3TT,V,1.0,1.0,N,N,N,N
7Q,3,S,7Q,17,3TT,V,1.0,1.0,N,N,N,N
56,3,D,56Q,21,3TT,V,1.0,2.0,S,N,N,N
67,3,S,67,13,3TT,V,1.0,1.0,N,N,N,N
46,3,D,456,15,3TT,V,1.0,2.0,S,N,N,N
4T,3,S,4T,14,3TT,V,1.0,1.0,N,N,N,N
29,3,D,279,18,3TT,V,1.0,2.0,S,N,N,N
TJ,K,S,TJ,20,28K,E,1.0,0.0,N,N,N,N
58,K,H,58T,23,28K,D,1.0,-1.0,N,N,N,N
6T,K,H,69T,25,28K,D,1.0,-1.0,N,N,N,N
JQ,K,S,JQ,20,28K,E,1.0,0.0,N,N,N,N
JK,K,S,JK,20,28K,E,1.0,0.0,N,N,N,N
49,K,HS,469,19,28K,D,1.0,-1.0,N,N,N,N
25,K,HHH,23558,23,28K,D,1.0,-1.0,N,N,N,N
QQ,J,S,QQ,20,JK,E,1.0,0.0,N,N,N,N
4T,J,H,4TQ,24,JK,D,1.0,-1.0,N,N,N,N
9A,J,S,9A,20,JK,E,1.0,0.0,N,N,N,N
9K,J,S,9K,19,JK,D,1.0,-1.0,N,N,N,N
6T,J,H,6TJ,26,JK,D,1.0,-1.0,N,N,N,N
22,J,HHS,226J,20,JK,E,1.0,0.0,N,N,N,N
QA,J,-,QA,21,JK,V,1.0,1.5,N,N,S,N
QQ,9,S,QQ,20,9Q,V,1.0,1.0,N,N,N,N
24,9,HHHS,22446,18,9Q,D,1.0,-1.0,N,N,N,N
23,9,HH,236J,21,9Q,V,1.0,1.0,N,N,N,N
8Q,9,S,8Q,18,9Q,D,1.0,-1.0,N,N,N,N
7J,9,S,7J,17,9Q,D,1.0,-1.0,N,N,N,N
6Q,9,H,69Q,25,9Q,D,1.0,-1.0,N,N,N,N
5A,9,HHS,45JA,20,9Q,V,1.0,1.0,N,N,N,N
JK,6,S,JK,20,256Q,V,1.0,1.0,N,N,N,N
47,6,D,347,14,256Q,V,1.0,2.0,S,N,N,N
2K,6,S,2K,12,256Q,V,1.0,1.0,N,N,N,N
9J,6,S,9J,19,256Q,V,1.0,1.0,N,N,N,N
2Q,6,S,2Q,12,256Q,V,1.0,1.0,N,N,N,N
56,6,D,56A,12,256Q,V,1.0,2.0,S,N,N,N
5A,6,D,35A,19,256Q,V,1.0,2.0,S,N,N,N
JA,9,-,JA,21,79J,V,1.0,1.5,N,N,S,N
68,9,H,68J,24,79J,D,1.0,-1.0,N,N,N,N
9Q,9,S,9Q,19,79J,V,1.0,1.0,N,N,N,N
67,9,HS,667,19,79J,V,1.0,1.0,N,N,N,N
26,9,HS,26J,18,79J,V,1.0,1.0,N,N,N,N
49,9,H,49T,23,79J,D,1.0,-1.0,N,N,N,N
99,9,P,39,12,79J,V,1.0,1.0,N,S,N,N
9T,9,S,9T,19,79J,V,1.0,1.0,N,S,N,N
4K,3,S,4K,14,239Q,V,1.0,1.0,N,N,N,N
68,3,S,68,14,239Q,V,1.0,1.0,N,N,N,N
27,3,D,267,15,239Q,V,1.0,2.0,S,N,N,N
44,3,HS,449,17,239Q,V,1.0,1.0,N,N,N,N
46,3,D,46A,21,239Q,V,1.0,2.0,S,N,N,N
TJ,3,S,TJ,20,239Q,V,1.0,1.0,N,N,N,N
JA,3,-,JA,21,239Q,V,1.0,1.5,N,N,S,N
59,9,HS,569,20,49T,V,1.0,1.0,N,N,N,N
7J,9,S,7J,17,49T,V,1.0,1.0,N,N,N,N
8T,9,S,8T,18,49T,V,1.0,1.0,N,N,N,N
29,9,D,259,16,49T,V,1.0,2.0,S,N,N,N
3K,9,HS,36K,19,49T,V,1.0,1.0,N,N,N,N
8K,9,S,8K,18,49T,V,1.0,1.0,N,N,N,N
5T,9,HH,58TA,24,49T,D,1.0,-1.0,N,N,N,N
9Q,J,S,9Q,19,JJ,D,1.0,-1.0,N,N,N,N
39,J,HH,3469,22,JJ,D,1.0,-1.0,N,N,N,N
9J,J,S,9J,19,JJ,D,1.0,-1.0,N,N,N,N
89,J,S,89,17,JJ,D,1.0,-1.0,N,N,N,N
58,J,HH,58JA,24,JJ,D,1.0,-1.0,N,N,N,N
JK,J,S,JK,20,JJ,E,1.0,0.0,N,N,N,N
78,J,HH,788A,24,JJ,D,1.0,-1.0,N,N,N,N
9Q,4,S,9Q,19,45T,E,1.0,0.0,N,N,N,N
8J,4,S,8J,18,45T,D,1.0,-1.0,N,N,N,N
7Q,4,S,7Q,17,45T,D,1.0,-1.0,N,N,N,N
6K,4,S,6K,16,45T,D,1.0,-1.0,N,N,N,N
66,4,P,68,14,45T,D,1.0,-1.0,N,S,N,N
56,4,HS,256,13,45T,D,1.0,-1.0,N,S,N,N
46,4,D,246,12,45T,D,1.0,-2.0,S,N,N,N
27,4,D,257,14,45T,D,1.0,-2.0,S,N,N,N
47,Q,D,479,20,3QK,V,1.0,2.0,S,N,N,N
2A,Q,HHH,227TA,22,3QK,D,1.0,-1.0,N,N,N,N
5J,Q,H,56J,21,3QK,V,1.0,1.0,N,N,N,N
59,Q,H,579,21,3QK,V,1.0,1.0,N,N,N,N
9T,Q,S,9T,19,3QK,V,1.0,1.0,N,N,N,N
2J,Q,HS,27J,19,3QK,V,1.0,1.0,N,N,N,N
TK,Q,S,TK,20,3QK,V,1.0,1.0,N,N,N,N
39,6,S,39,12,46Q,D,1.0,-1.0,N,N,N,N
23,6,HS,23J,15,46Q,D,1.0,-1.0,N,N,N,N
67,6,S,67,13,46Q,D,1.0,-1.0,N,N,N,N
57,6,S,57,12,46Q,D,1.0,-1.0,N,N,N,N
7Q,6,S,7Q,17,46Q,D,1.0,-1.0,N,N,N,N
2T,6,S,2T,12,46Q,D,1.0,-1.0,N,N,N,N
QQ,6,S,QQ,20,46Q,E,1.0,0.0,N,N,N,N
2K,A,H,2KK,22,7A,D,1.0,-1.0,N,N,N,N
48,A,H,48Q,22,7A,D,1.0,-1.0,N,N,N,N
JK,A,S,JK,20,7A,V,1.0,1.0,N,N,N,N
6A,A,HS,36A,20,7A,V,1.0,1.0,N,N,N,N
TQ,A,S,TQ,20,7A,V,1.0,1.0,N,N,N,N
4Q,A,H,4JQ,24,7A,D,1.0,-1.0,N,N,N,N
7K,A,S,7K,17,7A,D,1.0,-1.0,N,N,N,N
5A,7,HH,45AA,21,27Q,V,1.0,1.0,N,N,N,N
7J,7,S,7J,17,27Q,D,1.0,-1.0,N,N,N,N
29,7,D,29A,12,27Q,D,1.0,-2.0,S,N,N,N
2T,7,H,2TK,22,27Q,D,1.0,-1.0,N,N,N,N
5Q,7,H,5QQ,25,27Q,D,1.0,-1.0,N,N,N,N
5K,7,H,5KK,25,27Q,D,1.0,-1.0,N,N,N,N
7J,7,S,7J,17,27Q,D,1.0,-1.0,N,N,N,N
TA,2,-,TA,21,228K,V,1.0,1.5,N,N,S,N
4K,2,S,4K,14,228K,V,1.0,1.0,N,N,N,N
8K,2,S,8K,18,228K,V,1.0,1.0,N,N,N,N
9Q,2,S,9Q,19,228K,V,1.0,1.0,N,N,N,N
68,2,S,68,14,228K,V,1.0,1.0,N,N,N,N
58,2,S,58,13,228K,V,1.0,1.0,N,N,N,N
5J,2,S,5J,15,228K,V,1.0,1.0,N,N,N,N
8K,8,S,8K,18,89,V,1.0,1.0,N,N,N,N
6K,8,H,56K,21,89,V,1.0,1.0,N,N,N,N
8K,8,S,8K,18,89,V,1.0,1.0,N,N,N,N
KK,8,S,KK,20,89,V,1.0,1.0,N,N,N,N
3T,8,HHS,36TA,20,89,V,1.0,1.0,N,N,N,N
5A,8,HH,58TA,24,89,D,1.0,-1.0,N,N,N,N
6A,8,HH,699A,25,89,D,1.0,-1.0,N,N,N,N
47,A,-,47,11,QA,D,1.0,-1.0,N,N,N,S
29,A,-,29,11,QA,D,1.0,-1.0,N,N,N,S
3K,A,-,3K,13,QA,D,1.0,-1.0,N,N,N,S
8A,A,-,8A,19,QA,D,1.0,-1.0,N,N,N,S
34,A,-,34,7,QA,D,1.0,-1.0,N,N,N,S
58,A,-,58,13,QA,D,1.0,-1.0,N,N,N,S
35,A,-,35,8,QA,D,1.0,-1.0,N,N,N,S
36,9,HS,36Q,19,249J,V,1.0,1.0,N,N,N,N
9J,9,S,9J,19,249J,V,1.0,1.0,N,N,N,N
8K,9,S,8K,18,249J,V,1.0,1.0,N,N,N,N
6T,9,HS,36T,19,249J,V,1.0,1.0,N,N,N,N
78,9,H,678,21,249J,V,1.0,1.0,N,N,N,N
TJ,9,S,TJ,20,249J,V,1.0,1.0,N,N,N,N
22,9,HHS,224A,19,249J,V,1.0,1.0,N,N,N,N
4A,T,HS,44A,19,333T,E,1.0,0.0,N,N,N,N
2Q,T,HS,27Q,19,333T,E,1.0,0.0,N,N,N,N
4K,T,H,4TK,24,333T,D,1.0,-1.0,N,N,N,N
8J,T,S,8J,18,333T,D,1.0,-1.0,N,N,N,N
7A,T,HS,7JA,18,333T,D,1.0,-1.0,N,N,N,N
TK,T,S,TK,20,333T,V,1.0,1.0,N,N,N,N
JK,T,S,JK,20,333T,V,1.0,1.0,N,N,N,N
5A,J,HS,35A,19,55J,D,1.0,-1.0,N,N,N,N
69,J,H,669,21,55J,V,1.0,1.0,N,N,N,N
TK,J,S,TK,20,55J,E,1.0,0.0,N,N,N,N
34,J,HD,344Q,21,55J,V,1.0,2.0,S,N,N,N
25,J,HH,256T,23,55J,D,1.0,-1.0,N,N,N,N
66,J,H,669,21,55J,V,1.0,1.0,N,N,N,N
99,J,S,99,18,55J,D,1.0,-1.0,N,N,N,N
2K,A,-,2K,12,JA,D,1.0,-1.0,N,N,N,S
JK,A,-,JK,20,JA,D,1.0,-1.0,N,N,N,S
8Q,A,-,8Q,18,JA,D,1.0,-1.0,N,N,N,S
6T,A,-,6T,16,JA,D,1.0,-1.0,N,N,N,S
4Q,A,-,4Q,14,JA,D,1.0,-1.0,N,N,N,S
35,A,-,35,8,JA,D,1.0,-1.0,N,N,N,S
4K,A,-,4K,14,JA,D,1.0,-1.0,N,N,N,S
67,T,H,679,22,7T,D,1.0,-1.0,N,N,N,N
59,T,H,59T,24,7T,D,1.0,-1.0,N,N,N,N
58,T,H,58Q,23,7T,D,1.0,-1.0,N,N,N,N
7J,T,S,7J,17,7T,E,1.0,0.0,N,N,N,N
33,T,HH,33QK,26,7T,D,1.0,-1.0,N,N,N,N
2T,T,HS,26T,18,7T,V,1.0,1.0,N,N,N,N
7J,T,S,7J,17,7T,E,1.0,0.0,N,N,N,N
3T,2,S,3T,13,2TK,V,1.0,1.0,N,N,N,N
QK,2,S,QK,20,2TK,V,1.0,1.0,N,N,N,N
4Q,2,S,4Q,14,2TK,V,1.0,1.0,N,N,N,N
8A,2,S,8A,19,2TK,V,1.0,1.0,N,N,N,N
57,2,HS,557,17,2TK,V,1.0,1.0,N,N,N,N
35,2,HS,359,17,2TK,V,1.0,1.0,N,N,N,N
3J,2,S,3J,13,2TK,V,1.0,1.0,N,N,N,N
47,6,D,47A,12,26K,D,1.0,-2.0,S,N,N,N
28,6,D,248,14,26K,D,1.0,-2.0,S,N,N,N
5J,6,S,5J,15,26K,D,1.0,-1.0,N,N,N,N
QK,6,S,QK,20,26K,V,1.0,1.0,N,N,N,N
58,6,S,58,13,26K,D,1.0,-1.0,N,N,N,N
5K,6,S,5K,15,26K,D,1.0,-1.0,N,N,N,N
KA,6,-,KA,21,26K,V,1.0,1.5,N,N,S,N
29,5,D,239,14,56Q,D,1.0,-2.0,S,N,N,N
TK,5,S,TK,20,56Q,D,1.0,-1.0,N,N,N,N
48,5,S,48,12,56Q,D,1.0,-1.0,N,N,N,N
8J,5,S,8J,18,56Q,D,1.0,-1.0,N,N,N,N
69,5,S,69,15,56Q,D,1.0,-1.0,N,N,N,N
9A,5,S,9A,20,56Q,D,1.0,-1.0,N,N,N,N
6T,5,S,6T,16,56Q,D,1.0,-1.0,N,N,N,N
6K,6,S,6K,16,226Q,D,1.0,-1.0,N,N,N,N
23,6,HD,236T,21,226Q,V,1.0,2.0,S,N,N,N
78,6,S,78,15,226Q,D,1.0,-1.0,N,N,N,N
TJ,6,S,TJ,20,226Q,E,1.0,0.0,N,N,N,N
6J,6,S,6J,16,226Q,D,1.0,-1.0,N,N,N,N
KA,6,-,KA,21,226Q,V,1.0,1.5,N,N,S,N
5A,6,D,5AA,17,226Q,D,1.0,-2.0,S,N,N,N
TQ,7,S,TQ,20,567,V,1.0,1.0,N,N,N,N
28,7,D,28A,21,567,V,1.0,2.0,S,N,N,N
QK,7,S,QK,20,567,V,1.0,1.0,N,N,N,N
47,7,D,247,13,567,D,1.0,-2.0,S,N,N,N
6K,7,H,68K,24,567,D,1.0,-1.0,N,N,N,N
56,7,D,56Q,21,567,V,1.0,2.0,S,N,N,N
JA,7,-,JA,21,567,V,1.0,1.5,N,N,S,N
37,Q,HS,377,17,25Q,E,1.0,0.0,N,N,N,N
24,Q,HH,2489,23,25Q,D,1.0,-1.0,N,N,N,N
7K,Q,S,7K,17,25Q,E,1.0,0.0,N,N,N,N
KK,Q,S,KK,20,25Q,V,1.0,1.0,N,N,N,N
6A,Q,HS,6QA,17,25Q,E,1.0,0.0,N,N,N,N
9J,Q,S,9J,19,25Q,V,1.0,1.0,N,N,N,N
36,Q,HS,369,18,25Q,V,1.0,1.0,N,N,N,N
AA,T,P,4A,15,TQ,D,1.0,-1.0,N,S,N,N
AA,T,-,AA,12,TQ,D,1.0,-1.0,N,S,N,N
47,T,D,247,13,TQ,D,1.0,-2.0,S,N,N,N
49,T,HHS,349A,17,TQ,D,1.0,-1.0,N,N,N,N
4A,T,HH,479A,21,TQ,V,1.0,1.0,N,N,N,N
4T,T,HS,44T,18,TQ,D,1.0,-1.0,N,N,N,N
8K,T,S,8K,18,TQ,D,1.0,-1.0,N,N,N,N
4J,T,H,49J,23,TQ,D,1.0,-1.0,N,N,N,N
79,2,S,79,16,278,D,1.0,-1.0,N,N,N,N
68,2,S,68,14,278,D,1.0,-1.0,N,N,N,N
78,2,S,78,15,278,D,1.0,-1.0,N,N,N,N
4Q,2,S,4Q,14,278,D,1.0,-1.0,N,N,N,N
24,2,HS,247,13,278,D,1.0,-1.0,N,N,N,N
JA,2,-,JA,21,278,V,1.0,1.5,N,N,S,N
5J,2,S,5J,15,278,D,1.0,-1.0,N,N,N,N
29,A,-,29,11,QA,D,1.0,-1.0,N,N,N,S
24,A,-,24,6,QA,D,1.0,-1.0,N,N,N,S
8A,A,-,8A,19,QA,D,1.0,-1.0,N,N,N,S
KK,A,-,KK,20,QA,D,1.0,-1.0,N,N,N,S
6K,A,-,6K,16,QA,D,1.0,-1.0,N,N,N,S
JQ,A,-,JQ,20,QA,D,1.0,-1.0,N,N,N,S
37,A,-,37,10,QA,D,1.0,-1.0,N,N,N,S
8A,T,S,8A,19,7T,V,1.0,1.0,N,N,N,N
46,T,HS,46J,20,7T,V,1.0,1.0,N,N,N,N
57,T,HHS,3557,20,7T,V,1.0,1.0,N,N,N,N
4T,T,HS,45T,19,7T,V,1.0,1.0,N,N,N,N
9J,T,S,9J,19,7T,V,1.0,1.0,N,N,N,N
3T,T,HS,35T,18,7T,V,1.0,1.0,N,N,N,N
4K,T,HS,44K,18,7T,V,1.0,1.0,N,N,N,N
8K,8,S,8K,18,389,D,1.0,-1.0,N,N,N,N
6T,8,H,56T,21,389,V,1.0,1.0,N,N,N,N
27,8,HS,278,17,389,D,1.0,-1.0,N,N,N,N
57,8,H,57J,22,389,D,1.0,-1.0,N,N,N,N
TK,8,S,TK,20,389,E,1.0,0.0,N,N,N,N
JA,8,-,JA,21,389,V,1.0,1.5,N,N,S,N
23,8,HHS,233J,18,389,D,1.0,-1.0,N,N,N,N
3J,A,-,3J,13,QA,D,1.0,-1.0,N,N,N,S
4K,A,-,4K,14,QA,D,1.0,-1.0,N,N,N,S
9T,A,-,9T,19,QA,D,1.0,-1.0,N,N,N,S
QA,A,-,QA,21,QA,E,1.0,0.0,N,N,S,S
8T,A,-,8T,18,QA,D,1.0,-1.0,N,N,N,S
5T,A,-,5T,15,QA,D,1.0,-1.0,N,N,N,S
5K,A,-,5K,15,QA,D,1.0,-1.0,N,N,N,S
8T,Q,S,8T,18,6QA,V,1.0,1.0,N,N,N,N
47,Q,D,479,20,6QA,V,1.0,2.0,S,N,N,N
2Q,Q,H,2TQ,22,6QA,D,1.0,-1.0,N,N,N,N
7J,Q,S,7J,17,6QA,E,1.0,0.0,N,N,N,N
3A,Q,HHS,33JA,17,6QA,E,1.0,0.0,N,N,N,N
3J,Q,HH,337J,23,6QA,D,1.0,-1.0,N,N,N,N
5Q,Q,HS,35Q,18,6QA,V,1.0,1.0,N,N,N,N
27,8,HS,27K,19,89,V,1.0,1.0,N,N,N,N
2K,8,H,2QK,22,89,D,1.0,-1.0,N,N,N,N
6J,8,H,6TJ,26,89,D,1.0,-1.0,N,N,N,N
