Inicial Upcard Acoes Final Valor DealerFinal
2Q 6 S 2Q 12 68T
37 6 D 379 19 68T
7Q 6 S 7Q 17 68T
57 6 S 57 12 68T
5J 6 S 5J 15 68T
7J 9 S 7J 17 369
26 9 HS 269 17 369
45 9 HS 45K 19 369
6A 9 HS 6JA 17 369
QK 9 S QK 20 369
4T 9 H 48T 22 369
6Q 9 H 6QQ 26 369
KA 8 - KA 21 88J
38 8 D 38Q 21 88J
3T 8 HS 35T 18 88J
23 8 HHH 235TA 21 88J
23 8 HD 2346 15 88J
7K 8 S 7K 17 88J
78 8 H 678 21 88J
4K 6 S 4K 14 4456
9J 6 S 9J 19 4456
36 6 D 36K 19 4456
9A 6 S 9A 20 4456
JA 6 - JA 21 4456
KA 6 - KA 21 4456
29 6 D 249 15 4456
JQ K S JQ 20 JK
5J K H 56J 21 JK
4T K H 4TK 24 JK
7Q K S 7Q 17 JK
5K K H 5QK 25 JK
5Q K HS 55Q 20 JK
47 K D 447 15 JK
4T 8 H 49T 23 88A
3K 8 H 38K 21 88A
25 8 HS 25A 18 88A
JQ 8 S JQ 20 88A
68 8 HS 368 17 88A
KA 8 - KA 21 88A
9K 8 S 9K 19 88A
TK 2 S TK 20 24A
8Q 2 S 8Q 18 24A
5A 2 HS 5KA 16 24A
9J 2 S 9J 19 24A
57 2 HS 567 18 24A
6T 2 S 6T 16 24A
9J 2 S 9J 19 24A
TQ 8 S TQ 20 68K
6T 8 HS 6TA 17 68K
34 8 HH 346K 23 68K
58 8 H 588 21 68K
28 8 D 248 14 68K
2T 8 HH 227T 21 68K
QA 8 - QA 21 68K
59 7 H 59K 24 477
3J 7 H 3JQ 23 477
6A 7 HS 26A 19 477
9K 7 S 9K 19 477
5Q 7 HS 45Q 19 477
4J 7 HS 45J 19 477
35 7 HH 3568 22 477
34 A HS 34K 17 TA
45 A HS 45J 19 TA
KA A - KA 21 TA
36 A HHS 3446 17 TA
48 A H 489 21 TA
TT A S TT 20 TA
4Q A HS 46Q 20 TA
34 4 HD 3349 19 48J
4T 4 S 4T 14 48J
25 4 HD 2258 17 48J
7A 4 D 78A 16 48J
34 4 HS 34J 17 48J
45 4 D 457 16 48J
47 4 D 47T 21 48J
TQ 8 S TQ 20 488
57 8 HHH 357TA 26 488
5J 8 H 56J 21 488
39 8 H 39J 22 488
9J 8 S 9J 19 488
48 8 HS 458 17 488
8A 8 S 8A 19 488
TQ 4 S TQ 20 459
8K 4 S 8K 18 459
33 4 P 3J 13 459
37 4 HS 37Q 20 459
9A 4 S 9A 20 459
7K 4 S 7K 17 459
47 4 D 247 13 459
78 4 S 78 15 459
5A A HH 5JKA 26 6A
45 A HH 455J 24 6A
TT A S TT 20 6A
TQ A S TQ 20 6A
79 A H 79T 26 6A
23 A HHH 23JQA 26 6A
79 A H 679 22 6A
23 8 HH 23KK 25 588
4J 8 HHS 24JA 17 588
QQ 8 S QQ 20 588
48 8 HS 468 18 588
TT 8 S TT 20 588
8Q 8 S 8Q 18 588
2J 8 HH 2JJA 23 588
QK 8 S QK 20 8A
QK 8 S QK 20 8A
89 8 S 89 17 8A
4K 8 HH 246K 22 8A
34 8 HHHS 33446 20 8A
2A 8 H 28A 21 8A
TQ 8 S TQ 20 8A
TQ 2 S TQ 20 27A
5K 2 S 5K 15 27A
KA 2 - KA 21 27A
6Q 2 S 6Q 16 27A
39 2 H 399 21 27A
56 2 D 566 17 27A
AA 2 P 2A 13 27A
5A 2 - 5A 16 27A
8K 2 S 8K 18 28A
46 2 D 46K 20 28A
5Q 2 S 5Q 15 28A
27 2 HS 279 18 28A
59 2 S 59 14 28A
9J 2 S 9J 19 28A
59 2 S 59 14 28A
8J 6 S 8J 18 56KA
46 6 D 46K 20 56KA
25 6 HS 257 14 56KA
4J 6 S 4J 14 56KA
48 6 S 48 12 56KA
47 6 D 477 18 56KA
9A 6 S 9A 20 56KA
48 T HS 458 17 248T
26 T HS 26Q 18 248T
4T T HS 45T 19 248T
6Q T HS 6QA 17 248T
3A T HHHH 3379AA 24 248T
TJ T S TJ 20 248T
29 T D 229 13 248T
23 T HHHS 22238 17 8T
9A T S 9A 20 8T
7A T HS 7AA 19 8T
9J T S 9J 19 8T
46 T H 46A 21 8T
8K T S 8K 18 8T
7J T S 7J 17 8T
3T Q H 38T 21 3JQ
6J Q HS 26J 18 3JQ
28 Q HS 28J 20 3JQ
6T Q HS 6TA 17 3JQ
TA Q - TA 21 3JQ
5T Q H 56T 21 3JQ
TQ Q S TQ 20 3JQ
23 7 HH 23JQ 25 479
QA 7 - QA 21 479
QA 7 - QA 21 479
56 7 D 56Q 21 479
5K 7 HS 45K 19 479
8J 7 S 8J 18 479
56 7 D 256 13 479
67 6 S 67 13 36K
58 6 S 58 13 36K
TK 6 S TK 20 36K
23 6 HS 23Q 15 36K
2K 6 S 2K 12 36K
68 6 S 68 14 36K
89 6 S 89 17 36K
78 A H 678 21 223AA
33 A HHS 333J 19 223AA
9J A S 9J 19 223AA
QK A S QK 20 223AA
45 A HS 45K 19 223AA
8K A S 8K 18 223AA
TK A S TK 20 223AA
TQ 2 S TQ 20 2TQ
8A 2 S 8A 19 2TQ
89 2 S 89 17 2TQ
7K 2 S 7K 17 2TQ
5J 2 S 5J 15 2TQ
2Q 2 H 2QQ 22 2TQ
26 2 HS 266 14 2TQ
JJ 6 S JJ 20 2446T
69 6 S 69 15 2446T
2J 6 S 2J 12 2446T
TQ 6 S TQ 20 2446T
5T 6 S 5T 15 2446T
69 6 S 69 15 2446T
5A 6 D 5KA 16 2446T
88 9 P 68 14 9K
48 9 HH 348Q 25 9K
6Q 9 H 6TQ 26 9K
49 9 H 49Q 23 9K
TQ 9 S TQ 20 9K
7J 9 S 7J 17 9K
6T 9 HS 26T 18 9K
7K 9 S 7K 17 9K
27 9 HHH 22478 23 99
7K 9 S 7K 17 99
2Q 9 H 2QQ 22 99
39 9 HH 39TA 23 99
5A 9 HH 59KA 25 99
3T 9 H 3TT 23 99
6T 9 HS 46T 20 99
7Q 7 S 7Q 17 478
9Q 7 S 9Q 19 478
4Q 7 H 4QK 24 478
QA 7 - QA 21 478
7A 7 S 7A 18 478
77 7 P 7Q 17 478
57 7 H 57Q 22 478
2T 7 HS 25T 17 478
35 3 HS 356 14 38K
6K 3 S 6K 16 38K
7T 3 S 7T 17 38K
27 3 D 279 18 38K
QA 3 - QA 21 38K
37 3 D 37T 20 38K
29 3 D 29Q 21 38K
TA 2 - TA 21 23TK
67 2 S 67 13 23TK
KK 2 S KK 20 23TK
7K 2 S 7K 17 23TK
TK 2 S TK 20 23TK
3Q 2 S 3Q 13 23TK
7Q 2 S 7Q 17 23TK
6T A H 68T 24 37A
8K A S 8K 18 37A
3K A HS 37K 20 37A
25 A HHS 2558 20 37A
34 A HHS 234A 20 37A
5J A H 5JQ 25 37A
4J A HS 44J 18 37A
7Q 4 S 7Q 17 247JA
48 4 S 48 12 247JA
44 4 HS 44Q 18 247JA
35 4 HS 357 15 247JA
8A 4 S 8A 19 247JA
9A 4 S 9A 20 247JA
49 4 S 49 13 247JA
TJ 3 S TJ 20 35J
JJ 3 S JJ 20 35J
8T 3 S 8T 18 35J
2T 3 H 2TK 22 35J
KK 3 S KK 20 35J
24 3 HS 24J 16 35J
29 3 D 289 19 35J
3T T HS 37T 20 244T
2A T HHS 26QA 19 244T
8J T S 8J 18 244T
6A T HH 67KA 24 244T
9K T S 9K 19 244T
57 T HHHS 557AA 19 244T
33 T HHS 334J 20 244T
8A T S 8A 19 TA
27 T HH 237T 22 TA
3A T HH 3QKA 24 TA
57 T HH 579A 22 TA
3A T HH 39QA 23 TA
5A T HHH 357TA 26 TA
37 T HH 3378 21 TA
QA 2 - QA 21 28K
5J 2 S 5J 15 28K
3J 2 S 3J 13 28K
2J 2 HS 22J 14 28K
4A 2 HS 49A 14 28K
6T 2 S 6T 16 28K
23 2 HHS 233T 18 28K
69 2 S 69 15 227Q
34 2 HS 34J 17 227Q
59 2 S 59 14 227Q
26 2 HS 26Q 18 227Q
3J 2 S 3J 13 227Q
KA 2 - KA 21 227Q
8A 2 S 8A 19 227Q
25 8 HS 25Q 17 8A
58 8 H 588 21 8A
2Q 8 HS 27Q 19 8A
7T 8 S 7T 17 8A
4K 8 H 4TK 24 8A
3K 8 HH 38KA 22 8A
6Q 8 H 68Q 24 8A
7K 9 S 7K 17 79J
AA 9 P JA 21 79J
6A 9 - 6A 17 79J
4T 9 HS 34T 17 79J
9T 9 S 9T 19 79J
9J 9 S 9J 19 79J
4A 9 HHHS 4JAAA 17 79J
6K 9 H 66K 22 79J
QK 6 S QK 20 667
TJ 6 S TJ 20 667
56 6 D 556 16 667
47 6 D 47A 12 667
66 6 P 6Q 16 667
26 6 HS 26J 18 667
3T 6 S 3T 13 667
28 6 D 288 18 667
QQ K S QQ 20 QK
9K K S 9K 19 QK
45 K HS 459 18 QK
3K K HS 37K 20 QK
38 K D 38J 21 QK
6A K HS 6KA 17 QK
79 K H 79K 26 QK
QA A - QA 21 24A
68 A HS 468 18 24A
7J A S 7J 17 24A
5T A HS 55T 20 24A
35 A HS 35A 19 24A
QA A - QA 21 24A
AA A P TA 21 24A
9A A - 9A 20 24A
6Q 5 S 6Q 16 5JK
68 5 S 68 14 5JK
57 5 S 57 12 5JK
39 5 S 39 12 5JK
89 5 S 89 17 5JK
78 5 S 78 15 5JK
5T 5 S 5T 15 5JK
6T J HS 6TA 17 23JQ
4K J HS 44K 18 23JQ
34 J HHS 34AA 19 23JQ
4Q J HH 245Q 21 23JQ
44 J HS 44J 18 23JQ
33 J HH 337T 23 23JQ
JA J - JA 21 23JQ
QK 4 S QK 20 49J
47 4 D 457 16 49J
TA 4 - TA 21 49J
23 4 HHS 2334 12 49J
6K 4 S 6K 16 49J
46 4 D 46J 20 49J
9Q 4 S 9Q 19 49J
49 A HS 479 20 27JA
4A A HH 4QKA 25 27JA
8K A S 8K 18 27JA
3Q A H 38Q 21 27JA
JA A - JA 21 27JA
6J A HS 26J 18 27JA
7A A HH 47QA 22 27JA
6K 9 H 6TK 26 9T
29 9 D 29Q 21 9T
35 9 HD 3335 14 9T
58 9 HHS 3458 20 9T
58 9 HS 458 17 9T
8A 9 S 8A 19 9T
24 9 HHS 224J 18 9T
28 5 D 248 14 5QK
49 5 S 49 13 5QK
7A 5 D 7JA 18 5QK
3Q 5 S 3Q 13 5QK
49 5 S 49 13 5QK
QK 5 S QK 20 5QK
59 5 S 59 14 5QK
8K 2 S 8K 18 267KA
68 2 S 68 14 267KA
6J 2 S 6J 16 267KA
QA 2 - QA 21 267KA
JA 2 - JA 21 267KA
56 2 D 568 19 267KA
9A 2 S 9A 20 267KA
2T 9 HHS 24TA 17 99
78 9 H 78J 25 99
6T 9 HS 36T 19 99
4Q 9 HS 46Q 20 99
TK 9 S TK 20 99
4J 9 H 4JK 24 99
2Q 9 HS 26Q 18 99
JQ 5 S JQ 20 45K
47 5 D 479 20 45K
6T 5 S 6T 16 45K
28 5 D 278 17 45K
58 5 S 58 13 45K
TK 5 S TK 20 45K
45 5 D 445 13 45K
5J Q H 59J 24 JQ
6T Q H 6TK 26 JQ
27 Q HS 27J 19 JQ
9J Q S 9J 19 JQ
29 Q D 269 17 JQ
6A Q HHS 469A 20 JQ
3A Q HH 399A 22 JQ
KK 6 S KK 20 69Q
37 6 D 357 15 69Q
56 6 D 568 19 69Q
68 6 S 68 14 69Q
5A 6 D 5KA 16 69Q
99 6 P 9J 19 69Q
59 6 S 59 14 69Q
TK 6 S TK 20 69Q
7K 6 S 7K 17 23568
3A 6 D 3KA 14 23568
9K 6 S 9K 19 23568
79 6 S 79 16 23568
KK 6 S KK 20 23568
3T 6 S 3T 13 23568
69 6 S 69 15 23568
6T 9 HS 26T 18 9Q
69 9 H 689 23 9Q
49 9 H 489 21 9Q
36 9 HD 2236 13 9Q
JJ 9 S JJ 20 9Q
6A 9 H 46A 21 9Q
7K 9 S 7K 17 9Q
3T 6 S 3T 13 2367
QA 6 - QA 21 2367
5K 6 S 5K 15 2367
8K 6 S 8K 18 2367
47 6 D 478 19 2367
69 6 S 69 15 2367
36 6 D 36A 20 2367
8A 3 S 8A 19 3JQ
24 3 HD 24KA 17 3JQ
4A 3 HS 4KA 15 3JQ
6Q 3 S 6Q 16 3JQ
4J 3 S 4J 14 3JQ
69 3 S 69 15 3JQ
29 3 D 299 20 3JQ
57 7 HS 567 18 79A
KA 7 - KA 21 79A
57 7 H 57K 22 79A
45 7 HHS 3457 19 79A
27 7 HS 27J 19 79A
3A 7 HHHH 338JAA 26 79A
2K 7 H 2JK 22 79A
57 Q HHH 3577A 23 4QQA
4J Q H 4TJ 24 4QQA
48 Q H 489 21 4QQA
9Q Q S 9Q 19 4QQA
6A Q H 46A 21 4QQA
55 Q HS 55K 20 4QQA
23 Q HH 2389 22 4QQA
7K K S 7K 17 JK
68 K HS 368 17 JK
4Q K H 4QK 24 JK
35 K HD 335Q 21 JK
2Q K H 2JQ 22 JK
39 K HH 39KA 23 JK
3A K HHH 237TA 23 JK
58 Q H 588 21 2JQ
68 Q H 689 23 2JQ
27 Q HH 2479 22 2JQ
38 Q D 338 14 2JQ
69 Q HS 569 20 2JQ
78 Q HS 578 20 2JQ
4A Q H 46A 21 2JQ
4Q K H 4JQ 24 9K
35 K HH 3568 22 9K
69 K H 69Q 25 9K
8T K S 8T 18 9K
57 K HS 557 17 9K
4T K HH 24TJ 26 9K
58 K HHS 558A 19 9K
8K J S 8K 18 5JJA
8T J S 8T 18 5JJA
78 J H 788 23 5JJA
24 J HH 249T 25 5JJA
3J J H 39J 22 5JJA
24 J HH 24JK 26 5JJA
89 J S 89 17 5JJA
67 3 S 67 13 3TKA
7J 3 S 7J 17 3TKA
6J 3 S 6J 16 3TKA
2Q 3 HS 25Q 17 3TKA
56 3 D 456 15 3TKA
7A 3 D 67A 14 3TKA
4J 3 S 4J 14 3TKA
2Q 4 S 2Q 12 469
49 4 S 49 13 469
25 4 HS 257 14 469
AA 4 P 8A 19 469
TA 4 - TA 21 469
7Q 4 S 7Q 17 469
TQ 4 S TQ 20 469
48 4 S 48 12 469
6A 6 D 6AA 18 26J
7A 6 D 77A 15 26J
TJ 6 S TJ 20 26J
55 6 D 559 19 26J
34 6 HS 34T 17 26J
5A 6 D 5JA 16 26J
KA 6 - KA 21 26J
9A T S 9A 20 7T
9J T S 9J 19 7T
5T T HS 35T 18 7T
58 T H 588 21 7T
4Q T HS 34Q 17 7T
2Q T HS 28Q 20 7T
27 T HH 257Q 24 7T
2Q 3 HS 2QA 13 35Q
46 3 D 456 15 35Q
2T 3 HS 28T 20 35Q
2K 3 HS 27K 19 35Q
QA 3 - QA 21 35Q
8Q 3 S 8Q 18 35Q
23 3 HD 2336 14 35Q
9A 4 S 9A 20 47T
5T 4 S 5T 15 47T
66 4 P 56 11 47T
6A 4 HS 36A 20 47T
8A 4 S 8A 19 47T
5J 4 S 5J 15 47T
KA 4 - KA 21 47T
8T 4 S 8T 18 47T
4A 6 D 48A 13 569
2Q 6 S 2Q 12 569
5A 6 D 55A 21 569
5J 6 S 5J 15 569
2Q 6 S 2Q 12 569
TJ 6 S TJ 20 569
79 6 S 79 16 569
7Q 3 S 7Q 17 35Q
48 3 H 48T 22 35Q
8A 3 S 8A 19 35Q
67 3 S 67 13 35Q
6K 3 S 6K 16 35Q
8J 3 S 8J 18 35Q
TQ 3 S TQ 20 35Q
67 2 S 67 13 2JK
36 2 HS 366 15 2JK
4A 2 HHHS 446AA 16 2JK
8T 2 S 8T 18 2JK
TA 2 - TA 21 2JK
39 2 HS 369 18 2JK
46 2 D 456 15 2JK
5A 3 HS 5QA 16 36JA
KA 3 - KA 21 36JA
7T 3 S 7T 17 36JA
49 3 S 49 13 36JA
35 3 HD 335K 21 36JA
78 3 S 78 15 36JA
8J 3 S 8J 18 36JA
6Q K H 67Q 23 8K
2K K HH 23JK 25 8K
6A K HS 26A 19 8K
35 K HS 35K 18 8K
9A K S 9A 20 8K
44 K HS 44J 18 8K
79 K H 779 23 8K
23 K HHS 235J 20 JK
36 K HHH 356QA 25 JK
8Q K S 8Q 18 JK
9T K S 9T 19 JK
45 K HS 45K 19 JK
8A K S 8A 19 JK
QK K S QK 20 JK
TJ 4 S TJ 20 347TA
8Q 4 S 8Q 18 347TA
TJ 4 S TJ 20 347TA
33 4 P 23 5 347TA
35 4 HS 355 13 347TA
89 4 S 89 17 347TA
69 4 S 69 15 347TA
68 4 S 68 14 347TA
22 8 HHS 2258 17 28K
6Q 8 H 6QK 26 28K
5T 8 H 57T 22 28K
6Q 8 H 68Q 24 28K
67 8 HHS 367A 17 28K
59 8 HS 559 19 28K
4K 8 H 4KK 24 28K
4Q 5 S 4Q 14 56K
8T 5 S 8T 18 56K
35 5 HS 35T 18 56K
5T 5 S 5T 15 56K
8Q 5 S 8Q 18 56K
3T 5 S 3T 13 56K
TA 5 - TA 21 56K
59 3 S 59 14 339T
2J 3 HS 24J 16 339T
88 3 P 28 10 339T
58 3 S 58 13 339T
24 3 HS 24K 16 339T
26 3 HS 266 14 339T
9J 3 S 9J 19 339T
6A 3 D 36A 20 339T
7A K HS 7JA 18 7K
6K K H 6JK 26 7K
2J K HHH 23TJA 26 7K
66 K HS 566 17 7K
35 K HS 35J 18 7K
47 K D 467 17 7K
58 K HS 458 17 7K
39 4 S 39 12 24TA
8K 4 S 8K 18 24TA
AA 4 P TA 21 24TA
KA 4 - KA 21 24TA
2K 4 S 2K 12 24TA
36 4 D 36J 19 24TA
8J 4 S 8J 18 24TA
26 4 HS 26A 19 24TA
34 3 HS 34T 17 239J
36 3 D 36K 19 239J
48 3 H 48K 22 239J
44 3 HS 44J 18 239J
48 3 HS 348 15 239J
48 3 H 489 21 239J
59 3 S 59 14 239J
2A 7 HHH 229KA 24 37K
69 7 HS 269 17 37K
8J 7 S 8J 18 37K
78 7 H 778 22 37K
2J 7 H 2JQ 22 37K
68 7 HS 468 18 37K
9T 7 S 9T 19 37K
JJ 3 S JJ 20 38K
44 3 HS 44Q 18 38K
46 3 D 467 17 38K
AA 3 P TA 21 38K
AA 3 - AA 12 38K
48 3 H 48T 22 38K
5K 3 S 5K 15 38K
37 3 D 37K 20 38K
8A 9 S 8A 19 3449
24 9 HD 244T 20 3449
4J 9 HH 4TJA 25 3449
QK 9 S QK 20 3449
9A 9 S 9A 20 3449
7J 9 S 7J 17 3449
36 9 HS 36J 19 3449
3K 2 S 3K 13 26A
3K 2 S 3K 13 26A
6A 2 HS 67A 14 26A
5Q 2 S 5Q 15 26A
TK 2 S TK 20 26A
QQ 2 S QQ 20 26A
37 2 D 377 17 26A
45 K HD 245Q 21 8K
6Q K H 6JQ 26 8K
25 K HHS 25QA 18 8K
3Q K HS 37Q 20 8K
4Q K HS 46Q 20 8K
67 K HH 3667 22 8K
26 K HS 26K 18 8K
39 T HHS 3449 20 TT
9J T S 9J 19 TT
56 T D 569 20 TT
58 T H 589 22 TT
78 T HS 478 19 TT
5K T H 5QK 25 TT
57 T HH 579A 22 TT
5J 3 S 5J 15 38K
6K 3 S 6K 16 38K
5A 3 HD 56AA 13 38K
KA 3 - KA 21 38K
4Q 3 S 4Q 14 38K
2J 3 HS 22J 14 38K
49 3 S 49 13 38K
7Q 2 S 7Q 17 27J
9K 2 S 9K 19 27J
3T 2 S 3T 13 27J
69 2 S 69 15 27J
23 2 HHS 239A 15 27J
48 2 HS 478 19 27J
38 2 D 348 15 27J
QQ 3 S QQ 20 38QA
5A 3 HD 256A 14 38QA
3A 3 HHS 35AA 20 38QA
46 3 D 446 14 38QA
7J 3 S 7J 17 38QA
34 3 HS 349 16 38QA
27 3 D 27J 19 38QA
TA 2 - TA 21 227KA
5J 2 S 5J 15 227KA
6T 2 S 6T 16 227KA
6K 2 S 6K 16 227KA
9A 2 S 9A 20 227KA
3J 2 S 3J 13 227KA
5T 2 S 5T 15 227KA
57 8 HS 557 17 8T
24 8 HD 2445 15 8T
45 8 HH 4567 22 8T
34 8 HHHS 3447A 19 8T
4A 8 HHS 24AA 18 8T
6T 8 H 6TK 26 8T
8Q 8 S 8Q 18 8T
7Q 4 S 7Q 17 478
7J 4 S 7J 17 478
3T 4 S 3T 13 478
JJ 4 S JJ 20 478
27 4 D 27Q 19 478
6A 4 D 68A 15 478
56 4 D 568 19 478
JK 2 S JK 20 27T
6T 2 S 6T 16 27T
69 2 S 69 15 27T
5K 2 S 5K 15 27T
35 2 HD 235K 20 27T
88 2 P 28 10 27T
48 2 HS 248 14 27T
6K 2 S 6K 16 27T
TJ Q S TJ 20 TQ
45 Q HS 45T 19 TQ
8A Q S 8A 19 TQ
5J Q H 57J 22 TQ
TK Q S TK 20 TQ
4K Q HS 44K 18 TQ
45 Q HH 4577 23 TQ
3T Q HS 37T 20 4QKA
TT Q S TT 20 4QKA
28 Q HH 2689 25 4QKA
9Q Q S 9Q 19 4QKA
9A Q S 9A 20 4QKA
48 Q HH 2488 22 4QKA
5K Q H 5KK 25 4QKA
3J 9 HS 35J 18 79T
JQ 9 S JQ 20 79T
49 9 HS 479 20 79T
45 9 HHH 3445T 26 79T
57 9 H 57K 22 79T
4K 9 H 4KK 24 79T
8A 9 S 8A 19 79T
68 5 S 68 14 458
7Q 5 S 7Q 17 458
78 5 S 78 15 458
AA 5 P KA 21 458
AA 5 - AA 12 458
58 5 S 58 13 458
89 5 S 89 17 458
5K 5 S 5K 15 458
8T J S 8T 18 55J
8A J S 8A 19 55J
47 J D 47Q 21 55J
6Q J HS 46Q 20 55J
KK J S KK 20 55J
67 J H 67K 23 55J
7A J HS 27A 20 55J
39 4 S 39 12 48J
7K 4 S 7K 17 48J
6A 4 D 68A 15 48J
7J 4 S 7J 17 48J
29 4 D 269 17 48J
8Q 4 S 8Q 18 48J
4T 4 S 4T 14 48J
23 Q HHS 234Q 19 34Q
35 Q HS 35J 18 34Q
8K Q S 8K 18 34Q
4J Q HS 45J 19 34Q
29 Q D 299 20 34Q
35 Q HS 359 17 34Q
78 Q H 788 23 34Q
58 5 S 58 13 56J
2T 5 S 2T 12 56J
49 5 S 49 13 56J
7T 5 S 7T 17 56J
23 5 HD 2335 13 56J
2A 5 D 26A 19 56J
8T 5 S 8T 18 56J
22 A HHHS 22347 18 7A
99 A S 99 18 7A
5A A HH 58TA 24 7A
JQ A S JQ 20 7A
6K A HS 46K 20 7A
4T A H 47T 21 7A
25 A HHHH 22345Q 26 7A
7T T S 7T 17 TA
8T T S 8T 18 TA
8J T S 8J 18 TA
9J T S 9J 19 TA
38 T D 38Q 21 TA
8A T S 8A 19 TA
3J T HHS 235J 20 TA
56 8 D 56J 21 89
56 8 D 56J 21 89
AA 8 P 6A 17 89
QA 8 - QA 21 89
JQ 8 S JQ 20 89
47 8 D 47Q 21 89
28 8 D 28K 20 89
8T 8 S 8T 18 89
JK A S JK 20 KA
67 A H 67T 23 KA
3K A H 3TK 23 KA
9K A S 9K 19 KA
69 A H 69K 25 KA
4Q A H 4TQ 24 KA
8J A S 8J 18 KA
4A J HHH 3469A 23 7J
4Q J HS 34Q 17 7J
6T J H 6TJ 26 7J
66 J H 66T 22 7J
38 J D 338 14 7J
9A J S 9A 20 7J
49 J H 49J 23 7J
TT 5 S TT 20 5QK
8T 5 S 8T 18 5QK
